method,sample_id,seed,perturbation,n_robots,gamma_r_scale,alpha,lambda_loss,congestion_tolerance,p_new_multiplier,sector_decay,sector_reward,sector_pull,final_net_energy,final_net_energy_per_robot,throughput,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,mean_active_fraction,total_completed_deposit,total_collisions
morris,1,8,congestion_tolerance,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.09505686752943819,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-170209.5,-2659.5234375,0.132,0.0020625,0.032770539933471184,1.1712192083893593,0.522875,198.0,5583.0
morris,1,9,congestion_tolerance,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.09505686752943819,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-128454.5,-2007.1015625,0.14533333333333334,0.0022708333333333335,0.032655626562607426,1.1913046384211337,0.5125208333333333,218.0,5677.0
morris,1,7,p_new_multiplier,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,0.2670559710923249,0.01106994704148985,1.9921254960101873,0.31706476768550124,-497560.0,-7774.375,0.030666666666666665,0.00047916666666666664,0.03432931760044666,1.2122944259831578,0.5540729166666667,46.0,6503.0
morris,1,8,p_new_multiplier,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,0.2670559710923249,0.01106994704148985,1.9921254960101873,0.31706476768550124,-484148.75,-7564.82421875,0.03333333333333333,0.0005208333333333333,0.03397401387839537,1.241302392677649,0.5616354166666667,50.0,6353.0
morris,1,9,p_new_multiplier,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,0.2670559710923249,0.01106994704148985,1.9921254960101873,0.31706476768550124,-508198.0,-7940.59375,0.024666666666666667,0.00038541666666666667,0.03381988768792333,1.203954459289633,0.54896875,37.0,6359.0
morris,1,7,sector_decay,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.0010699470414898494,1.9921254960101873,0.31706476768550124,-126996.5,-1984.3203125,0.14533333333333334,0.0022708333333333335,0.03254424795110513,1.2014971158676122,0.5268541666666666,218.0,5620.0
morris,1,8,sector_decay,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.0010699470414898494,1.9921254960101873,0.31706476768550124,-170209.5,-2659.5234375,0.132,0.0020625,0.032770539933471184,1.1712192083893593,0.522875,198.0,5583.0
morris,1,9,sector_decay,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.0010699470414898494,1.9921254960101873,0.31706476768550124,-128454.5,-2007.1015625,0.14533333333333334,0.0022708333333333335,0.032655626562607426,1.1913046384211337,0.5125208333333333,218.0,5677.0
morris,1,7,sector_reward,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.1171254960101873,0.31706476768550124,-126996.5,-1984.3203125,0.14533333333333334,0.0022708333333333335,0.03254424795110513,1.2014971158676122,0.5268541666666666,218.0,5620.0
morris,1,8,sector_reward,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.1171254960101873,0.31706476768550124,-170209.5,-2659.5234375,0.132,0.0020625,0.032770539933471184,1.1712192083893593,0.522875,198.0,5583.0
morris,1,9,sector_reward,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.1171254960101873,0.31706476768550124,-128454.5,-2007.1015625,0.14533333333333334,0.0022708333333333335,0.032655626562607426,1.1913046384211337,0.5125208333333333,218.0,5677.0
morris,1,7,sector_pull,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.11706476768550123,-126996.5,-1984.3203125,0.14533333333333334,0.0022708333333333335,0.03254424795110513,1.2014971158676122,0.5268541666666666,218.0,5620.0
morris,1,8,sector_pull,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.11706476768550123,-170209.5,-2659.5234375,0.132,0.0020625,0.032770539933471184,1.1712192083893593,0.522875,198.0,5583.0
